number,type,gu,area,room,lat_y,long_x
1,다가구,동작구,490.16,8,37.4954356,126.9374484
2,다가구,양천구,259.37,8,37.5353473,126.8324511
3,다가구,강서구,349.05,7,37.5480633,126.8520284
4,다가구,서대문구,360.03,7,37.5815224,126.922577
5,다가구,도봉구,286.08,7,37.66055,127.0384288
6,다가구,도봉구,289.26,7,37.66055,127.0384288
7,다가구,은평구,330.62,7,37.5984975,126.9233785
8,다가구,은평구,248.04,7,37.6209522,126.9161497
9,다가구,은평구,219.86,7,37.6064337,126.921714
10,다가구,강북구,263.93,7,37.6097987,127.0220277
11,다가구,마포구 ,302.71,12,37.5544295,126.9024099
12,다가구,서초구 ,587.04,10,37.4848185,126.9880369
13,다가구,강서구,340.09,9,37.5378136,126.8491521
14,다가구,광진구,509.1,13,37.5396821,127.0664605
15,다가구,도봉구,571.11,14,37.65773,127.01436
16,다가구,강서구,579.78,13,37.5312794,126.8548343
17,다가구,중랑구,454.7,13,37.6025231,127.1033397
18,다가구,광진구,304.2,5,37.5688009,127.0847014
19,다가구,성북구,451.28,20,37.6076549,127.013154
20,다가구,구로구,395.78,10,37.4899208,126.8527442
21,다가구,광진구,452.39,6,37.5594283,127.092805
22,다가구,성북구,207.32,7,37.6101787,127.064872
23,다가구,은평구,313.11,7,37.6237757,126.9158386
24,다가구,서대문구,486,6,37.5927107,126.9332029
25,다가구,성북구,362.22,6,37.6111612,127.0122257
26,다가구,성북구,273.39,6,37.58371,127.02359
27,다가구,은평구,230.04,10,37.604675,126.9112717
28,다가구,서초구 ,508.48,16,37.4739958,127.0416062
29,다가구,성북구,563.22,14,37.6157707,127.0475042
30,다가구,서대문구,431.76,9,37.5830253,126.9195184
31,다가구,은평구,243.57,7,37.58151655,126.9058
32,다가구,은평구,449.76,8,37.5998977,126.9277616
33,다가구,광진구,490.44,12,37.5396821,127.0664605
34,다가구,강서구,455.15,10,37.5421192,126.8459678
35,다가구,도봉구,153.81,5,37.6651832,127.0426274
36,다가구,광진구,452.63,8,37.5563216,127.0912831
37,다가구,관악구,220.09,7,37.4788201,126.9345025
38,다가구,성북구,264.48,7,37.6078819,127.03572
39,다가구,광진구,220.05,13,37.5423162,127.0924311
40,다가구,광진구,287.82,6,37.5423162,127.0924311
41,다가구,강서구,229.98,6,37.5303815,126.8538236
42,다가구,양천구,371.21,8,37.5450492,126.8758003
43,다가구,중랑구,195.7,5,37.6084996,127.0741453
44,다가구,은평구,271.29,5,37.6179737,126.9044781
45,다가구,강서구,220.08,5,37.5343888,126.8524049
46,다가구,중랑구,200,5,37.6084996,127.0741453
47,다가구,성동구,575.14,12,37.5705367,127.0393374
48,다가구,서대문구,323.9,5,37.5705041,126.9255441
49,다가구,서대문구,341.28,7,37.5772615,126.9070281
50,다가구,마포구 ,67,9,37.5601246,126.908565
51,다가구,서대문구,84.86,1,37.5794396,126.9149143
52,다가구,구로구,268.1,5,37.4892339,126.8868481
53,다가구,강북구,209.78,5,37.645791,127.0118307
54,다가구,은평구,292.08,6,37.6156806,126.9126848
55,다가구,은평구,290.32,7,37.6244047,126.9216946
56,다가구,도봉구,279.48,7,37.6325129,127.043492
57,다가구,강동구,501.59,11,37.541245,127.1357519
58,다가구,성북구,367.32,10,37.5873566,127.0292969
59,다가구,서대문구,361.86,10,37.587684,126.9305933
60,다가구,동대문구,482.68,10,37.5711261,127.0317843
61,다가구,구로구,199.53,5,37.4968121,126.8842901
62,다가구,구로구,349.12,8,37.4966514,126.8852121
63,다가구,강북구,217.17,5,37.62197,127.01286
64,다가구,도봉구,236.15,5,37.6490009,127.0289774
65,다가구,도봉구,248.06,5,37.6686889,127.0353376
66,다가구,마포구 ,187.72,5,37.5539725,126.9020972
67,다가구,마포구 ,235.62,5,37.5683333,126.909105
68,다가구,마포구 ,457.63,5,37.557211,126.9156473
69,다가구,은평구,189.45,5,37.6187962,126.9115198
70,다가구,은평구,236.15,5,37.6267683,126.9226756
71,다가구,은평구,362.12,6,37.6272075,126.9218437
72,다가구,서대문구,199.14,5,37.5760713,126.905117
73,다가구,광진구,146.8,5,37.565759,127.078937
74,다가구,강서구,256.89,6,37.548048,126.8510911
75,다가구,양천구,199.08,5,37.5455221,126.8683325
76,다가구,양천구,199.08,5,37.5455221,126.8683325
77,다가구,동작구,481.68,9,37.4954356,126.9374484
78,다가구,마포구 ,316.3,5,37.5558022,126.9198792
79,다가구,은평구,199.53,5,37.625113,126.9132918
80,다가구,은평구,218.17,5,37.625113,126.9132918
81,다가구,강서구,161.1,5,37.5280655,126.8466458
82,다가구,중랑구,214.32,7,37.5909039,127.1004988
83,다가구,마포구 ,266.76,9,37.5651159,126.9070461
84,다가구,양천구,238.18,6,37.5282163,126.8372472
85,다가구,광진구,281.72,5,37.5568431,127.0952511
86,다가구,은평구,348.04,7,37.620417,126.9149001
87,다가구,관악구,275.46,6,37.4695004,126.9224394
88,다가구,은평구,314.79,7,37.6244047,126.9216946
89,다가구,은평구,200.47,7,37.6028633,126.9140128
90,다가구,은평구,265.77,10,37.5833204,126.9205702
91,다가구,종로구,403.41,10,37.614825,126.9757433
92,다가구,종로구,595.52,8,37.614825,126.9757433
93,다가구,양천구,167.25,5,37.5248238,126.8452099
94,다가구,노원구,232.26,5,37.6142921,127.0624259
95,다가구,강서구,153.54,5,37.5284255,126.8437594
96,다가구,강서구,81.8,5,37.5299233,126.8541161
97,다가구,광진구,166.37,5,37.5335754,127.0801186
98,다가구,성북구,257.29,5,37.5975777,127.0335639
99,다가구,관악구,197.76,5,37.4776781,126.9214361
100,다가구,은평구,372.3,7,37.6156806,126.9126848
101,다가구,강서구,203.13,5,37.5472272,126.8494442
102,다가구,은평구,209.18,9,37.6020461,126.90884
103,다가구,강서구,285.51,6,37.5323248,126.8536172
104,다가구,은평구,519.42,11,37.63463,126.91715
105,다가구,은평구,436.79,7,37.63463,126.91715
106,다가구,은평구,534.87,9,37.63463,126.91715
107,다가구,성북구,299.38,7,37.611564,127.0143668
108,다가구,양천구,238.52,5,37.5441261,126.8636707
109,다가구,도봉구,174.87,5,37.6515671,127.0268897
110,다가구,도봉구,178.25,6,37.66055,127.0384288
111,다가구,관악구,195.03,5,37.4788201,126.9345025
112,다가구,성북구,227.52,5,37.6160606,127.044307
113,다가구,은평구,247.32,6,37.6263427,126.9144552
114,다가구,은평구,247.32,6,37.6263427,126.9144552
115,다가구,은평구,191.62,5,37.6237757,126.9158386
116,다가구,성북구,219.19,6,37.5876343,127.0132872
117,다가구,양천구,479,10,37.5427255,126.8674458
118,다가구,강동구,313.28,8,37.541245,127.1357519
119,다가구,관악구,309.06,7,37.4886188,126.9330338
120,다가구,강서구,174.39,5,37.5303815,126.8538236
121,다가구,성북구,206.76,9,37.6111612,127.0122257
122,다가구,은평구,452.41,11,37.6238452,126.9229663
123,다가구,은평구,343.82,7,37.6235297,126.9140701
124,다가구,강서구,247.17,5,37.5284255,126.8437594
125,다가구,관악구,343.53,8,37.4782122,126.9354375
126,다가구,서대문구,145.17,6,37.5677446,126.9344046
127,다가구,강서구,457.08,11,37.5378136,126.8491521
128,다가구,강서구,290.4,6,37.5280655,126.8466458
129,다가구,관악구,246.69,7,37.4875699,126.9208762
130,다가구,양천구,228.97,6,37.5281971,126.8600659
131,다가구,광진구,147.75,5,37.565759,127.078937
132,다가구,양천구,236.62,7,37.5271443,126.8544091
133,다가구,도봉구,486.63,19,37.6480895,127.0225284
134,다가구,은평구,279.69,5,37.62484395,126.9259097
135,다가구,관악구,317.37,7,37.477132,126.9196208
136,다가구,강서구,216.17,5,37.5378136,126.8491521
137,다가구,구로구,231.7,6,37.49407,126.8326162
138,다가구,광진구,252,5,37.5669792,127.0789169
139,다가구,성북구,243.72,5,37.6040394,127.0163632
140,다가구,성북구,411.88,14,37.6135855,127.0100657
141,다가구,광진구,226.76,5,37.562759,127.0765353
142,다가구,동작구,196.02,5,37.4988591,126.9285626
143,다가구,성북구,255.42,8,37.6118401,127.0138675
144,다가구,강서구,65.73,2,37.5299233,126.8541161
145,다가구,성북구,274.88,6,37.604423,127.0152037
146,다가구,종로구,482.43,15,37.573229,126.9633244
147,다가구,송파구,299.97,8,37.5019891,127.1077262
148,다가구,성북구,260.22,5,37.6098986,127.0124443
149,다가구,강남구,450.86,14,37.4940375,127.041041
150,다가구,관악구,337.68,7,37.4931786,126.9302148
151,다가구,양천구,247.86,7,37.5288617,126.8618791
152,다가구,강서구,252.87,5,37.566856,126.8065969
153,다가구,강서구,246.99,6,37.5316828,126.8615354
154,다가구,강북구,433.1,12,37.6326114,127.0165421
155,다가구,도봉구,485.42,15,37.6483697,127.0293483
156,다가구,성북구,229.2,7,37.6082949,127.0492284
157,다가구,성북구,143.53,5,37.6065573,127.0597724
158,다가구,성북구,265.6,6,37.6115989,127.0121935
159,다가구,용산구,258,6,37.5512733,126.9688983
160,다가구,성북구,793.28,19,37.6078848,127.0015427
161,다가구,성북구,349.86,8,37.6122805,127.0522071
162,다가구,노원구,414.05,9,37.6235199,127.0534416
163,다가구,양천구,280.94,6,37.5441261,126.8636707
164,다가구,서대문구,295.05,6,37.5948614,126.933335
165,다가구,도봉구,443.18,8,37.6850463,127.0431561
166,다가구,강북구,270.24,7,37.6346147,127.0152114
167,다가구,도봉구,531.93,13,37.6261199,127.049048
168,다가구,송파구,573.54,15,37.4920451,127.1502623
169,다가구,강동구,286.71,8,37.5555553,127.1351204
170,다가구,강북구,424.95,8,37.6456753,127.021263
171,다가구,강북구,273.71,6,37.6296076,127.0147022
172,다가구,성북구,66.4,15,37.5891205,127.0078031
173,다가구,은평구,458.19,8,37.6020461,126.90884
174,다가구,도봉구,163.59,8,37.6500575,127.0250252
175,다가구,강남구,215.7,8,37.493906,127.0345257
176,다가구,강동구,425.88,9,37.4825572,126.856878
177,다가구,강북구,195.84,4,37.6296076,127.0147022
178,다가구,양천구,215.4,5,37.5311136,126.8285241
179,다가구,송파구,490.29,16,37.4895492,127.1282123
180,다가구,도봉구,365.18,7,37.6578385,127.0278246
